type,variable,action,logical,physical,task,period (ms),
paldd,parking_sense_distance_front_ll,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,parking_sense_distance_front_ml,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,parking_sense_distance_front_mr,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,parking_sense_distance_front_rr,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,parking_sense_distance_rear_ll,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,parking_sense_distance_rear_ml,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,parking_sense_distance_rear_mr,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,parking_sense_distance_rear_rr,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,safety_cruise_disable_request,read,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,starter_kill,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,stw_spdc_deactiv_butt_state,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,stw_spdc_func_selection,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,stw_spdc_set_min_butt_state,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,stw_spdc_set_plus_butt_state,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,turn_indication_request,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,vehicle_speed,read,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,vehicle_speed_reliability,read,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,washer_spray_request,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,wipe_request,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,actual_headlight_level,write,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,alarm_hazard_lights_request,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,auto_light_request,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,closure_blink_request,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,ext_light_hmi_scenario,write,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,exterior_lighting_request,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,fog_lights_active,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,hazard_lights_request,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,high_beam_request,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,ivi_headlight_level_setting,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,lmv_power_mode,write,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,operating_mode_ignition,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,operating_mode_lighting,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,power_mode,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,turn_indication_request,read,Lighting manager,vehicle_control_unit,exl_control_task_vcu,50,
paldd,active_gear,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,active_vehicle_state,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,actual_closures_lock_vehicle,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,actual_operating_mode_dt,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ambient_light_level,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ambient_light_reliability,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,audio_notification_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,auto_light_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,brake_pedal_applied,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,charge_mode,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,closure_blink_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,closures_door_status,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,esc_power_mode,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,fog_lights_active,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,hazard_lights_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ivi_ac_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ivi_air_distribution_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ivi_blower_speed_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,sol_t
paldd,ivi_cabin_temp_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ivi_clim_contr_mode_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ivi_cms_brightness_setting,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ivi_defog_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ivi_headlight_level_setting,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ivi_recirculation_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ivi_wiper_service_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,lv_available_for_use,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,max_power_draw_tms,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,operating_mode_ignition,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,operating_mode_lighting,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,operating_mode_tms,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,power_loss_inverter_fl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,power_loss_inverter_fr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,power_loss_inverter_rl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,power_loss_inverter_rr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,power_loss_motor_fl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,power_loss_motor_fr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,power_loss_motor_rl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,power_loss_motor_rr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,power_mode,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,powerloss_hv,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,powerloss_hvlv,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,powerloss_obc,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,safety_cruise_disable_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,safety_horn_request,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ssc_power_mode,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,state_of_charge_lv,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_hv_battery,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_hv_lv_converter,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_int_high_hv_battery,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_int_low_hv_battery,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_inverter_fl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_inverter_fr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_inverter_rl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_inverter_rr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_motor_fl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_motor_fr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_motor_rl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_motor_rr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_actual_obc,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_max_hv_battery,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_max_hv_lv_converter,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_max_inverter_fl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_max_inverter_fr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_max_inverter_rl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_max_inverter_rr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_max_motor_fl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_max_motor_fr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_max_motor_rl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_max_motor_rr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_min_hv_battery,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_min_hv_lv_converter,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_min_inverter_fl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_min_inverter_fr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_min_inverter_rl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_min_inverter_rr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_min_motor_fl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_min_motor_fr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_min_motor_rl,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,temp_min_motor_rr,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,vehicle_long_accel,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,vehicle_speed,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,vehicle_speed_reliability,write,CAN receive,vehicle_control_unit,gwy_receive_task,50,
paldd,ac_actual,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,actual_headlight_level,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,actual_operating_mode_tms,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,actual_wiper_service_mode,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,air_distribution_actual,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,alarm_hazard_lights_request,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,blower_speed_actual,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,cabin_temp_actual,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,cabin_temp_setpoint_actual,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,clim_contr_mode_actual,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,cms_hmi_scenario,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,coolant_power_hv,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,coolant_power_lv,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,cruise_control_active,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,cruise_control_hmi_scenario,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,cruise_velocity_request,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,dcm_hmi_scenario,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,defog_actual,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,ext_light_hmi_scenario,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,ext_wiper_and_washer_hmi_scenario,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,exterior_lighting_request_reliable,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,fog_light_request_reliable,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,hvac_power_hv,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,hvac_power_lv,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,lmv_power_mode,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,media_next,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,media_prev,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,media_scroll,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,media_source,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,media_toggle_widget,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,media_volume_down,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,media_volume_up,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,parking_sense_distance_front_ll,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,parking_sense_distance_front_ml,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,parking_sense_distance_front_mr,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,parking_sense_distance_front_rr,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,parking_sense_distance_rear_ll,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,parking_sense_distance_rear_ml,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,parking_sense_distance_rear_mr,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,parking_sense_distance_rear_rr,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,recirculation_actual,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,sol_power_mode,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc00_hood_l11_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc00_hood_l21_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc00_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc01_hood_l31_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc01_hood_l32_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc01_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc02_hood_r41_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc02_hood_r42_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc02_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc03_hood_r51_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc03_hood_r61_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc03_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc04_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc04_roof_l11_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc04_roof_l21_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc05_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc05_roof_l22_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc05_roof_l23_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc06_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc06_roof_l12_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc06_roof_l24_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc07_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc07_roof_r31_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc07_roof_r41_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc08_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc08_roof_r32_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc08_roof_r33_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc09_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc09_roof_r34_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc09_roof_r42_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc10_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc10_tail_l11_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc10_tail_l21_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc11_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc11_tail_l22_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc11_tail_l23_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc12_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc12_tail_r32_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc12_tail_r33_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc13_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc13_tail_r31_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_dsc13_tail_r41_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_total_energy,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,solar_total_power,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,starter_kill,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,stw_spdc_deactiv_butt_state,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,stw_spdc_func_selection,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,stw_spdc_set_min_butt_state,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,stw_spdc_set_plus_butt_state,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,temperature_ambient,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tms_hmi_scenario,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_clnt_error_codes,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_comp_capacity_act_c21,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_coolant_q_chill_act,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_coolant_q_chill_ref_bachi,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_ctrl_ip_bus_sc_pti24,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_ctrl_ip_bus_sh_pti21,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_ctrl_ip_bus_sh_pti22,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_fan_speed_actual_fan31,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_fhu_ctrl_airflow,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_3wv_13,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_3wv_14,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_4wv_11,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_exv21,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_exv22,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_exv23,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_exv24,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_sov21,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_sov22,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_sov23,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pos_actual_sov24,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pressure_p21,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pressure_p22,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pump_speed_p11_req,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_pump_speed_p13_req,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_temperature_t11,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_temperature_t13,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_temperature_t14,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_temperature_t15,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_temperature_t25,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_temperature_t26,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_temperature_t27,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_temperature_t41,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_temperature_t42,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,tmslog_temperature_t43,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,wipe_request_reliable,read,CAN transmit,vehicle_control_unit,gwy_transmit_task,50,
paldd,horn_request_reliable,read,Horn manager,vehicle_control_unit,hmg_task,50,
paldd,safety_horn_request,read,Horn manager,vehicle_control_unit,hmg_task,50,
paldd,actual_solar_operating_mode,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,esc_power_mode,read,Solar controller,vehicle_control_unit,sol_task,50,
paldd,lmv_power_mode,read,Solar controller,vehicle_control_unit,sol_task,50,
paldd,lv_available_for_use,read,Solar controller,vehicle_control_unit,sol_task,50,
paldd,power_mode,read,Solar controller,vehicle_control_unit,sol_task,50,
paldd,sol_power_mode,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc00_hood_l11_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc00_hood_l21_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc00_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc01_hood_l31_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc01_hood_l32_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc01_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc02_hood_r41_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc02_hood_r42_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc02_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc03_hood_r51_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc03_hood_r61_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc03_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc04_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc04_roof_l11_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc04_roof_l21_power,write,Solar controller,vehicle_control_unit,sol_task,50,
paldd,solar_dsc05_power,write,Solar controller,vehicle_control_unit,sol_task,50,
