type,variable,caller,action,logical,physical,task,period (ms)
palcan,tbd,send_message_ecm1_0x109,transmit,tbd,scu,can_outputs_manager_update,tbd
palcan,tbd,send_message_ecm2_0x111,transmit,tbd,scu,can_outputs_manager_update,tbd
palcan,tbd,send_message_ecm3_0x115,transmit,tbd,scu,can_outputs_manager_update,tbd
palcan,tbd,send_message_ecm4_0x201,transmit,tbd,scu,can_outputs_manager_update,tbd
palcan,tbd,send_message_ecm5_0x203,transmit,tbd,scu,can_outputs_manager_update,tbd
palcan,tbd,send_message_tcm1_0x119,transmit,tbd,scu,can_outputs_manager_update,tbd
palcan,tbd,send_message_sas1_0x117,transmit,tbd,scu,can_outputs_manager_update,tbd
palcan,tbd,forward_if_received_stmin,transmit,tbd,scu,gwy_fw_upgrade_forwarding_task,tbd
palcan,tbd,forward_if_received,transmit,tbd,scu,gwy_fw_upgrade_forwarding_task,tbd
palcan,tbd,write_prc_version_number,transmit,tbd,scu,scu_task_10ms,tbd
palcan,tbd,write_prc_version_number,transmit,tbd,scu,scu_task_10ms,tbd
palcan,tbd,send_message.3462,transmit,tbd,scu,scu_task_10ms,tbd
palcan,tbd,send_message.3462,transmit,tbd,scu,scu_task_10ms,tbd
